Adres;PC;Huisnummer;Toevoeging;Wijk;Aannemer;Contactpersoon;Datum_aanvraag;Soort;nb_hoogte
Beverstraat;4769 KS;25;;Lunetten-Zuid;aannemer Marcel Start verbouwingen;A. Vos;20/03/2020;Schuur;38,4
Oudkerkhof;8645 VE;133;C;Hogeweide;DVL Buitenruimte;H. de Koning;03/02/2019;Dakkapel;9,6
Vredeplaats;4509 YJ;141;A;Langerak;P-bma;W. van de Ven;28/06/2015;Stal;9,6
Antoniestraat;2087 MC;15;;Transwijk-Zuid;Zandspuiten.nl;R. Willems;30/07/2018;Boomkap;12,8
Dirkje Mariastraat;5554 NL;63;;Tuindorp-Oost;Lamers Bouw;W. Schipper;17/05/2018;Dakkapel;6,4
Boomstraat;2651 PW;130;;Terwijde;FixEnjoy Bouw B.V.;A. Jonker;30/06/2019;Dakkapel;35,2
Vleutensche Vaart;7640 LT;133;;Tuinwijk-West;Aannemersbedrijf Braak Velsen B.V.;H. Timmermans;06/05/2019;Nieuwbouw;22,4
Soendastraat;2428 OO;102;D;Oudwijk;Schildersbedrijf J Simons B.V.;C. Bosman;23/07/2017;Verwijderen stal;12,8
Waterpoort;3818 RY;28;C;Zuilen-Noord;Aannemersbedrijf B Strumpel B.V.;R. van de Veen;23/05/2020;Stal;16
Daalschedijk 1e;8271 KH;144;;Terwijde;HX Industrial Roof Services;P. Willemsen;05/11/2018;Stal;32
Zadelstraat;8286 JQ;24;;Kanaleneiland-Zuid;Bestratingen J de Bie B.V.;J. van der Meer;02/06/2018;Verwijderen stal;25,6
Stadhuisbrug;6047 QQ;141;;Lombok-Oost;van Leur Groep Utrecht;S. Blom;14/07/2016;Gevelrenovatie;16
Hemdsmouwsteeg;9484 MM;62;;Strijkviertel;Aannemingsbedrijf Nees De Jong B.V.;I. de Groot;09/07/2019;Stal;35,2
Diaconiepoort;6491 RE;116;D;Strijkviertel;Aannemingsbedrijf Nico de Bont B.V.;L. Bosch;26/10/2019;Stal;19,2
Blauwkapelscheweg;5340 UX;8;;Schildersbuurt;Bouwbedrijf Verbruggen Zijtaart B.V.;H. Bosman;07/11/2016;Stal;38,4
Tolsteegbrug;2748 AF;97;C;Molenbuurt;Aannemersbedrijf Gerrits Gendt BV.;T. van de Velde;13/08/2019;Nieuwbouw;35,2
Rozenhofje;3282 LW;44;A;Tuindorp-Oost;Van den Broek Bestratingen;W. van Veen;29/09/2015;Gevelrenovatie;25,6
Ekerenspoort;6644 UD;107;C;Pijlsweerd-Zuid;SHP Bouwbedrijven;K. de Wit;17/04/2018;Boomkap;28,8
Abstederdijk;1719 LQ;111;;Pijlsweerd-Zuid;A-HA;H. de Jonge;24/08/2018;Gevelrenovatie;22,4
Bem. Weerd OZ;9685 WL;26;C;Lunetten-Zuid;Henselmans Bouwbedrijf B.V.;H. de Jong;29/06/2018;Boomkap;35,2
Hanengeschrei;7495 FH;112;;Geuzenwijk;Bouwbedrijf Dahlhaus B.V.;O. van den Velde;04/12/2019;Stal;19,2
Nicolaasdwarsstraat;8898 SA;72;B;Strijkviertel;Bouwbedrijf Bosma B.V.;E. van Beek;25/03/2018;Dakkapel;22,4
Wagenstraat;7640 MB;126;;Oud Hoograven;Bouwbedrijf Maalderink Reusken;L. van der Heijden;24/09/2018;Verwijderen stal;35,2
Meidoornstraat;9697 HO;42;;Geuzenwijk;Nieuwe Fundering Funderingsherstel;M. Mulder;26/11/2018;Stal;22,4
Javastraat;6684 PK;106;;Dichterswijk;Van der Werff Groep;B. van de Pol;26/10/2015;Stal;9,6
Visscherssteeg;5971 KH;133;A;Rivierenwijk;Geveke Bouw B.V.;K. Jansen;20/07/2019;Dakkapel;28,8
Walsteeg;6682 WW;22;;Oudwijk;Ursem Bouwgroep;G. Hoekstra;18/05/2018;Boomkap;38,4
Zoutmarkt;1662 LC;79;C;Papendorp;Greve Aannemersbedrijf M A;Y. Evers;24/07/2018;Verwijderen stal;12,8
Minstraat;9089 TO;10;;Schildersbuurt;Het Charles Maakt;K. van Beek;21/01/2015;Boomkap;25,6
Reguliersteeg;1075 XD;100;;Tweede Daalsebuurt en omgeving;Joh van Herk Aannemingsmaatschappij B.V.;F. van de Velde;24/01/2017;Nieuwbouw;35,2
Mauritsstraat;5800 KK;108;;Sterrenwijk;Lamboo & Zn Fa A J;I. Janssen;03/02/2019;Nieuwbouw;25,6
Doornboomstraat;4729 CR;139;C;Nieuw Hoograven;Chris Liet B.V.;Q. van de Velde;22/06/2015;Aanbouw;9,6
Kromme Rijn;7022 XA;62;;Lunetten-Zuid;Lubbers Timmerwerken;V. Smits;07/02/2018;Aanbouw;32
Adriaanstraat;6201 MH;12;A;Tuinwijk-West;Lubbers Timmerwerken;A. Koning;21/02/2017;Verwijderen stal;19,2
Tuchthuisstraat;5900 JO;88;D;Papendorp;HJ Poppink BV;P. van der Velde;05/02/2020;Verwijderen stal;16
Zaagmolenkade;7573 LX;60;A;Papendorp;De Haan Bouwonderneming G H;G. de Lange;23/02/2019;Gevelrenovatie;25,6
Kerkstraat;7437 VR;61;;Vogelenbuurt;Henzen-Specialistische-Diensten ;S. Peeters;31/10/2019;Boomkap;28,8
Hanengeschrei;2709 AK;117;;Hogeweide;Oosterbroek Cor Bouwbedrijf B.V.;T. de Lange;15/01/2016;Verwijderen stal;12,8
Meidoornstraat;5152 RI;71;A;Oudwijk;Sanders afbouw VOF;G. Kuijpers;24/06/2015;Verwijderen stal;9,6
Krielsteeg;2265 GR;139;A;Lombok-West;SBM Trading;B. Post;10/02/2020;Aanbouw;28,8
Lageweidsche dijk;6828 XK;121;C;Transwijk-Zuid;vd Maazen Bouwbedrijf;Y. de Vos;16/11/2016;Aanbouw;6,4
Kroonsteeg;1360 PQ;81;;Tweede Daalsebuurt en omgeving;Gerwers;V. Jonker;14/11/2019;Boomkap;32
Korte Hamsteeg;2467 ZD;5;;Watervogelbuurt;Aannemersbedrijf Grijzenhout B.V.;F. de Bruyn;20/09/2017;Aanbouw;16
Houtensche pad;2356 EJ;115;;Hogeweide;Bouwbedrijf van Grootveld B.V.;A. van den Velde;12/10/2018;Boomkap;35,2
Pasteurstraat;7567 MF;51;;Geuzenwijk;Bouwbedrijf Elpenhof B.V.;G. de Graaf;26/01/2018;Dakkapel;16
Vrouwjuttenstraat;4643 SO;85;;Molenbuurt;Van den Biggelaar Grond- en waterbouw BV;M. Boer;25/05/2019;Stal;19,2
Loevenhout. Dijk;9088 PL;48;;Sterrenwijk;Somass Bouwbedrijf B.V.;G. Bos;22/10/2019;Stal;28,8
Servaasbolwerk;9995 IM;8;;Zuilen-Noord;Koers Bouw;R. van den Broek;20/01/2020;Dakkapel;28,8
Nicolaasdwarsstraat;8030 WD;44;;Transwijk-Zuid;K_Dekker bouw & infra bv;T. de Koning;29/03/2015;Verwijderen stal;9,6
Landstraat;8515 WR;123;;Nieuw Hoograven;Bouwbedrijf Van Dijk B.V.;L. van der Horst;20/07/2016;Gevelrenovatie;25,6
Kerkdwarsstraat;5853 LI;45;;Lunetten-Noord;EP Bouwbedrijf;E. de Boer;29/12/2018;Stal;38,4
Steenweg;4580 LT;34;C;Tuinwijk-Oost;Aannemersbedrijf vd Voort;Z. van Dam;19/08/2017;Stal;35,2
Ridderschapstraat;9522 VG;51;;Geuzenwijk;Bouwservice ijmond v.o.f;Q. Jansen;26/01/2020;Boomkap;25,6
Korte Elisabethstraat;7267 KP;101;A;Oud Hoograven;Hekkelman Gorssel Aannemersbedrijf;H. Visser;30/05/2016;Nieuwbouw;38,4
Bem. Weerd OZ;4905 LI;126;D;Langerak;van De Zon Bouwbedrijf;C. Timmermans;24/03/2017;Verwijderen stal;19,2
Narcisstraat;6052 YR;15;C;Staatsliedenbuurt;Bouw en aannemingsbedrijf Zwaluwe B.V.;Z. Veenstra;31/05/2019;Nieuwbouw;22,4
Maliesingel;6865 VC;10;;Lunetten-Zuid;Greven Bouwonderneming;N. de Haan;13/08/2018;Boomkap;35,2
Voetiusstraat;4442 DH;108;;Lombok-West;Frebouw Bouw- & Onderhoudsbedrijf;N. Jansen;05/02/2018;Schuur;6,4
Muntstraat;6852 QQ;37;;Staatsliedenbuurt;Gerard Heij Bouw en Timmerbedrijf;N. Bosch;24/06/2017;Verwijderen stal;32
Alendorpsteeg;1794 IJ;7;;Tuindorp-Oost;Aannemersbedrijf M P Drijvers B.V.;G. van de Meer;13/03/2020;Stal;25,6
Leistraat;4369 TJ;108;;Ondiep;Huybregts Relou B.V.;R. Schouten;12/06/2016;Gevelrenovatie;16
Ravensteeg;8197 QQ;60;;Transwijk-Noord;Braber Renesse Bouwbedrijf B.V.;T. Kuijpers;21/02/2017;Nieuwbouw;25,6
Mariastraat;8637 YG;25;;Langerak;Bergwerf Bouw- en Aannemingsbedrijf;G. de Wit;03/11/2017;Boomkap;35,2
Kalverstraat;4505 DW;53;C;Strijkviertel;van Dijk Bouwbedrijf;P. Smit;02/05/2018;Aanbouw;38,4
Mariahofje;1902 OZ;9;D;Ondiep;Broers Bouwbedrijf;Q. Janssen;16/05/2020;Schuur;38,4
Rondpoort;5560 ZP;3;B;Tuinwijk-Oost;Haggeman Aannemersbedrijf B.V.;N. Vermeulen;03/08/2019;Stal;9,6
Bleekstraat;6736 EH;91;;Tuinwijk-West;DSL Support Aannemingsbedrijf BV;B. Schipper;15/01/2019;Dakkapel;38,4
Ondiep;5952 VA;122;;Strijkviertel;Hoogewerf Adviesburo BV;P. Sanders;02/02/2017;Schuur;12,8
Nassaustraat;6946 NZ;13;C;Oudwijk;Bimo Bouw Onderhoud;V. de Leeuw;21/03/2020;Gevelrenovatie;16
Emmalaan;6147 SO;15;;Tuindorp-Oost;Kootstra-vd Veen VOF;G. Bosman;14/11/2017;Boomkap;6,4
Korte Nieuwstraat;4364 SS;131;C;Papendorp;Aannemersbedrijf Nieuwenhuizen B.V.;R. de Jong;04/08/2016;Stal;38,4
Wijnpoort;2252 BZ;128;;Hogeweide;Niehof J B;O. van der Heyden;16/02/2018;Stal;22,4
Paddemoes;1757 EZ;125;;Kanaleneiland-Zuid;Sinnige Bouw B.V.;R. van Dam;21/04/2019;Verwijderen stal;38,4
Ezelsdijk;3727 IO;31;;Pijlsweerd-Zuid;Poel Bouwbedrijf;Q. Bakker;29/09/2017;Schuur;12,8
Walsteeg;4392 IW;58;D;Lunetten-Zuid;Paas B.V.;J. van de Berg;26/09/2019;Verwijderen stal;6,4
Hekelsteeg;7660 GG;84;;Geuzenwijk;Kooistra Bouwbedrijf;H. van den Heuvel;18/06/2020;Schuur;25,6
Molensteeg;9669 KU;76;;Tuinwijk-Oost;Aannemersbedrijf de Bouwmeesters.net;U. van der Linden;30/03/2017;Schuur;28,8
Lange Elisabethstraat;5541 UA;62;;Ondiep;Kroeze Infra B.V.;M. van der Meer;11/10/2017;Gevelrenovatie;12,8
Bergstraat;4814 KP;101;;Tweede Daalsebuurt en omgeving;Jelle's Boubedriuw BV;J. van den Pol;22/04/2018;Schuur;22,4
Groeneweg;7261 QF;86;;Nieuw Hoograven;Reimerswaal Aannemingsbedrijf;B. Scholten;19/07/2017;Stal;9,6
Amaliastraat;4123 LI;67;;Oudwijk;Aannemingsbedrijf Gebr J en P Oomen B.V.;C. Schipper;23/02/2019;Aanbouw;19,2
Lucas Bolwerk;4776 LO;92;;Oudwijk;Alfa Totaalbouw;E. van den Heuvel;18/12/2019;Verwijderen stal;9,6
Frederikastraat;7819 SX;120;;Rivierenwijk;Bouwbedrijf Voors-Dalen B.V.;G. de Lange;29/03/2018;Aanbouw;25,6
Rijnsteeg;2022 FZ;43;;Molenbuurt;Bakels en Ouwerkerk Bouwgroep;E. van den Velden;12/01/2016;Boomkap;12,8
Kleine Singel;1164 WM;54;B;Vogelenbuurt;Aannemersbedrijf J. van Dijk v.o.f.;X. Molenaar;20/01/2019;Schuur;32
Fockstraat;6742 NE;106;;Transwijk-Zuid;vdBergHellendoorn aannemersbedrijf b.v.;O. Visser;09/12/2019;Schuur;28,8
Narcisstraat;7153 QN;147;A;Bokkenbuurt;Bakker Woningverbetering VOF;F. Sanders;14/06/2016;Dakkapel;9,6
Tuinstraat;5546 WM;140;C;Pijlsweerd-Noord;van Leur Groep Utrecht;O. Koning;19/10/2017;Boomkap;22,4
Nassaulaan;3781 AV;100;;Lunetten-Zuid;Broens Bouwbedrijf;H. van der Berg;02/01/2017;Nieuwbouw;22,4
Oosterstraat;4248 IO;24;;Terwijde;Baderie Assen;J. Meijer;16/04/2020;Schuur;32
Leliestraat;9241 AO;96;;Staatsliedenbuurt;Keijl Bouwbedrijf;R. Peeters;03/08/2016;Dakkapel;22,4
Grasstraat;6882 KM;124;;Zuilen-Noord;Aannemingsbedrijf Blokland;U. van Veen;12/02/2017;Schuur;32
Oude Daelstraat;8252 EN;1;;Bedrijvengebied Overvecht;Aannemersbedrijf Vogt B.V.;D. van den Heuvel;14/10/2016;Boomkap;25,6
Ekerenspoort;8862 MZ;77;;Zuilen-Noord;Vosbouw Vroomshoop B.V.;E. Bosman;11/10/2018;Stal;32
Riouwstraat;1424 QU;67;C;Bloemenbuurt;B.A.B.S. afbouw;L. Vermeulen;04/09/2017;Stal;16
Thinstraat;3361 CG;56;D;Buurtnaam;aannemer bos;P. van Beek;25/02/2017;Nieuwbouw;19,2
Knollensteeg;1177 XB;150;;Kanaleneiland-Zuid;Tadema Bouwbedrijf B.V.;L. van der Ven;08/03/2020;Aanbouw;32
Riviersteeg;8488 KJ;23;;Bedrijventerrein Lageweide;Klussenbedrijf Veran;Y. de Bruijn;21/01/2020;Gevelrenovatie;16
Hamsteeg;1538 BG;74;;Bedrijvengebied Overvecht;ptc-opleidingen;U. van den Bosch;17/05/2016;Gevelrenovatie;22,4
Leidsche Kade;4222 WI;150;A;Geuzenwijk;vd Maazen Bouwbedrijf;O. de Jonge;05/12/2019;Nieuwbouw;19,2
Koningspoort;2039 RX;135;;Vogelenbuurt;Lingewaal B.V.;C. van der Meulen;15/06/2019;Stal;16
Parkstraat;4515 KP;144;D;Transwijk-Noord;Zwaag Totaalonderhoud;W. Jansen;24/12/2018;Schuur;6,4
Hoogravenschedijk;5981 AL;139;B;Schildersbuurt;Bouwbedrijf van Grootveld B.V.;H. Kok;05/02/2015;Dakkapel;16
Lamstraat;4241 NY;82;;Hogeweide;Aannemingsbedrijf Blokland;B. de Vos;17/08/2019;Verwijderen stal;9,6
Hooipoort;3699 PW;114;;Oudwijk;GEBR THIJSSEN B.V.;N. van der Meer;03/01/2015;Gevelrenovatie;16
Imhoffstraat (van);9595 IJ;117;;Bedrijventerrein Lageweide;Ippel Civiele Betonbouw BV;Z. Brouwer;26/06/2016;Stal;38,4
Jodenrijtje;5206 GL;44;A;Bedrijvengebied Overvecht;Concept Wonen;J. de Jong;07/11/2016;Schuur;16
Muntsteeg;6142 NL;71;;Rivierenwijk;Aannemersbedrijf M P Drijvers B.V.;I. Kuijpers;21/04/2019;Stal;16
Gerard Doustraat;1126 WR;113;;Transwijk-Zuid;Bouwbedrijf Voors-Dalen B.V.;H. de Wit;15/06/2020;Dakkapel;22,4
Daalschedijk 2e;8986 RX;66;;Terwijde;Bouwbedrijf Wielink Frank;L. Peeters;17/02/2020;Nieuwbouw;12,8
Grutterspoort;2738 LG;144;;Staatsliedenbuurt;Traas en Ovaa Infra B.V.;E. Brouwer;21/06/2016;Schuur;12,8
Oudegracht (Tolst.);7304 QE;132;;Lunetten-Zuid;Senso Gietvloeren Rotterdam;U. van de Pol;26/03/2019;Verwijderen stal;28,8
Dahliastraat;2434 TM;144;C;Papendorp;Knol Bouwbedrijf Peter B.V.;N. Bakker;03/04/2016;Boomkap;22,4
Jeremiestraat;5565 QY;73;;Langerak;De Vries Aannemers- en Bouwbedrijf;Y. van der Ven;30/06/2018;Stal;28,8
Stroomkade;2090 YT;61;;Bedrijventerrein Lageweide;Console Bouw B.V.;H. de Koning;05/08/2017;Nieuwbouw;32
Reguliersteeg;8609 RX;66;;Ondiep;Boekelo Aannemersbedrijf Stokkers B.V.;I. de Groot;09/11/2017;Boomkap;9,6
Zeilsteeg;4308 CT;44;;Buurtnaam;VolkerWessels;V. Schipper;05/07/2015;Boomkap;19,2
Nathanaëlspoort;7635 SW;109;;Buurtnaam;Bouwbedrijf Rijnbeek;T. van den Brink;24/11/2015;Gevelrenovatie;35,2
Bloemstraat;4632 DU;49;;Oud Hoograven;SBC Aannemers B.V.;E. Hermans;07/02/2016;Stal;35,2
Stadhouderslaan;4007 UR;87;;Kanaleneiland-Zuid;BOUWBEDRIJF SCHROEN B.V;Q. Timmermans;09/12/2018;Gevelrenovatie;6,4
Bem. Weerd WZ;3307 PJ;146;;Oud Hoograven;van Lingen B & U Aannemersbedrijf J;P. Vermeulen;29/05/2017;Dakkapel;6,4
Zuilensteeg;5230 HK;78;;Sterrenwijk;Geldof Zeeuwsch-Vlaanderen B.V.;R. Postma;07/09/2017;Stal;9,6
Prinsenstraat;4966 WQ;101;;Terwijde;T & W Bouw;M. Kramer;16/07/2016;Dakkapel;9,6
Zaagmolenkade;5661 NB;2;A;Molenbuurt;Bouwbedrijf Geers B.V.;V. Jonker;31/07/2015;Dakkapel;6,4
Hofsteeg;4802 MJ;136;;Zuilen-Noord;Gebr Griekspoor B.V.;U. Vermeulen;18/01/2015;Stal;6,4
Rozenhofje;3801 SD;141;;Lombok-Oost;Bavro B.V.;O. Kramer;29/10/2019;Nieuwbouw;25,6
Kuipersteeg;8979 DL;146;C;Staatsliedenbuurt;Uphoff Timmer-Bouwbedrijf.nl;L. Smits;06/03/2019;Nieuwbouw;32
Riviersteeg;3611 OE;83;;Pijlsweerd-Noord;van Leur Groep Utrecht;J. van der Ven;13/02/2019;Schuur;16
Jachtstraat;8920 YT;32;;Bloemenbuurt;Bouw- en Aannemingsbedrijf Dirk Bos B.V.;J. van der Heijden;20/01/2016;Verwijderen stal;16
Pallaesstraat;3943 AS;139;A;Strijkviertel;WSM Bouw B.V.;T. Hermans;21/01/2020;Stal;25,6
Borneostraat;6103 HX;146;D;Watervogelbuurt;Kooistra Bouwbedrijf;G. van der Wal;09/06/2019;Verwijderen stal;25,6
Paralelweg;5807 DK;62;;Nieuw Hoograven;Bouw- en Aannemersbedrijf Webbink B.V.;I. Kramer;10/09/2018;Boomkap;9,6
Oude Kerkstraat;2550 GO;57;;Rivierenwijk;RegioOfferte;N. Molenaar;03/12/2019;Verwijderen stal;25,6
Blauwsteeg;7861 FA;127;B;Molenbuurt;Koppen Bouw B.V.;F. Peters;10/12/2017;Verwijderen stal;16
Frederikastraat;9767 XA;99;;Pijlsweerd-Noord;Lankveld Bouwbedrijf;T. van Wijk;26/08/2016;Aanbouw;38,4
Brinkhof;7345 ZT;23;D;Bedrijventerrein Lageweide;Koppen Bouw B.V.;H. Dekker;01/11/2015;Nieuwbouw;28,8
Jacobsplein;7241 QP;70;A;Staatsliedenbuurt;Ruiter Bouwbedrijf;X. Vos;06/10/2017;Dakkapel;38,4
Pijlstraat;3131 LN;5;;Staatsliedenbuurt;Planubouw B.V.;E. de Wit;25/03/2018;Gevelrenovatie;25,6
Varkenmarkt;6252 QK;86;B;Pijlsweerd-Zuid;H.v.d.Bilt Aannemers & timmerbedrijf;I. van den Velden;03/06/2017;Verwijderen stal;35,2
Nieuwe Kade;4491 NP;34;;Terwijde;Kuperus bouw;Z. Jacobs;06/07/2017;Schuur;35,2
Protestantenhofje;6080 ZC;146;D;Watervogelbuurt;Waal Timmer- en Aannemersbedrijf;C. Peeters;02/12/2015;Nieuwbouw;28,8
Delistraat 1e;4782 CJ;110;;Molenbuurt;VALERES Industriebouw B.V.;S. de Ruiter;06/03/2015;Verwijderen stal;28,8
Onder de Linden;2302 GC;91;;Hogeweide;Kranenbarg Aannemersbedrijf G;V. Kok;22/03/2018;Gevelrenovatie;16
Nassaulaan;7077 CG;75;D;Staatsliedenbuurt;Marku Bouw B.V.;R. Willemsen;01/04/2020;Verwijderen stal;6,4
Pallaesstraat;5252 QT;83;;Kanaleneiland-Zuid;Timmerbedrijf R. Hogendoorn;Y. Meyer;20/08/2015;Stal;9,6
Kwakkeldijk;2167 XH;50;;Buurtnaam;Bouwbedrijf Van Leeuwen's B.V.;B. Kok;29/04/2015;Aanbouw;22,4
Korte Elisabethstraat;3822 WZ;70;;Lunetten-Zuid;Alfa Totaalbouw;C. van den Berg;28/05/2019;Nieuwbouw;28,8
Nassaustraat;2281 IX;32;;Hogeweide;Bouwbedrijf H.Bouwers;N. Koning;20/08/2019;Dakkapel;12,8
Drieharingstraat;6260 BW;148;;Oud Hoograven;Aannemingsmaatschappij ZVS Eemnes B.V.;N. Hoekstra;31/05/2017;Nieuwbouw;19,2
Catharijnesingel;2688 ZZ;64;;Buurtnaam;AVH Bouw;L. Kuiper;10/04/2020;Gevelrenovatie;32
Koningslaan;8751 FH;2;;Lombok-Oost;KMK Services;F. van der Berg;11/10/2018;Stal;32
Nobelstraat;1273 PJ;82;;Kanaleneiland-Zuid;Bouwbedrijf Postma Bergharen;Q. de Haan;09/10/2019;Stal;25,6
Begijnesteeg 1e;2122 TH;145;;Watervogelbuurt;Henselmans Bouwbedrijf B.V.;E. van den Berg;22/02/2017;Nieuwbouw;28,8
Korte Viestraat;4943 MN;7;;Kanaleneiland-Zuid;Bouwbedrijf Wielink Frank;V. Peters;11/12/2016;Stal;19,2
Hendrik de Keyserstraat;9938 JT;33;;Molenbuurt;Van Aalsburg BV;Q. de Vos;03/10/2015;Verwijderen stal;28,8
Appelstraat;2672 EO;118;;Bedrijventerrein Lageweide;Poel Bouwbedrijf;S. Blom;13/09/2015;Nieuwbouw;38,4
Achterom;1947 BO;8;;Pijlsweerd-Zuid;van Overhagen Bouwonderneming H;K. de Koning;10/04/2018;Stal;16
Jeruzalemsteeg;1740 TS;64;;Nieuw Hoograven;Scheerder Bouwbedrijf B.V.;G. van den Heuvel;07/02/2017;Verwijderen stal;16
Dirkje Mariastraat;7208 DZ;72;A;Nieuw Hoograven;vd Berg Bouwbedrijf M;O. Scholten;01/05/2020;Boomkap;6,4
Hardebollenstraat;1915 EU;30;;Ondiep;Bouwmij Janssen;B. de Lange;24/06/2018;Dakkapel;28,8
Brinkhof;3611 EL;4;;Oudwijk;SBM Trading;N. van de Wal;03/05/2015;Nieuwbouw;19,2
Predikheerenstraat;9890 RQ;119;;Lombok-West;Bouwmij Janssen;A. van de Berg;08/02/2015;Schuur;6,4
Spechtstraat 2e;7526 PH;91;;Bedrijvengebied Overvecht;Bergwerf Bouw- en Aannemingsbedrijf;F. Boer;24/07/2018;Gevelrenovatie;6,4
Concordiastraat;3568 ZU;127;C;Tuinwijk-West;Bouwbedrijf Ad Spruit;Y. de Groot;20/09/2019;Stal;32
Costa, Da kade;4545 XH;32;D;Dichterswijk;Bouwbedrijf Ted Groot B.V.;P. Postma;06/10/2018;Stal;35,2
Ridderhofstad;5520 PH;109;B;Bloemenbuurt;Bimo Bouw Onderhoud;H. Post;09/02/2019;Aanbouw;32
Donkere Gaard;6723 KG;29;;Tuindorp-Oost;Wildeboer Bouw BV;X. Willems;20/11/2017;Verwijderen stal;6,4
Minkade;4469 AN;100;;Dichterswijk;Bouwbedrijf Bosma B.V.;V. de Ruiter;11/01/2016;Nieuwbouw;6,4
Tromstraat;4920 FG;27;;Transwijk-Noord;AT Bouw B.V.;M. Meijer;02/08/2018;Gevelrenovatie;16
Servetstraat;8062 UY;144;;Tuinwijk-West;Spee Aannemingsbedrijf B.V.;I. Brouwer;18/11/2015;Gevelrenovatie;9,6
Oudegracht (Weerd);2876 JB;12;D;Tuinwijk-Oost;Aannemersbedrijf J. van Dijk v.o.f.;Q. van Dam;14/11/2015;Schuur;6,4
Brugsteeg;9906 UG;24;;Langerak;Bouwbedrijf Timmerman BV;Z. Blom;14/05/2020;Aanbouw;35,2
Kwakkeldijk;3334 YD;111;;Pijlsweerd-Noord;Bouwmaatschappij P W Schipper B.V.;C. Molenaar;29/01/2017;Aanbouw;6,4
Schutstraat;8186 RY;42;;Staatsliedenbuurt;Paauw Bouwbedrijf;A. Bosman;10/06/2017;Dakkapel;35,2
Wijde Begijnestraat;1841 LI;128;;Bedrijventerrein Lageweide;Tadema Bouwbedrijf B.V.;R. van der Wal;13/12/2017;Dakkapel;6,4
Predikheerenstraat;2149 DU;127;C;Bokkenbuurt;Van Campen Bouwgroep B.V.;I. Vermeulen;26/03/2017;Nieuwbouw;32
Fabriekstraat;3564 OQ;45;;Rivierenwijk;Boekelo Aannemersbedrijf Stokkers B.V.;H. de Leeuw;08/08/2018;Gevelrenovatie;32
Poortstraat;4780 FG;67;C;Langerak;Aannemingsbedrijf BOS;Z. de Bruyn;03/01/2016;Boomkap;12,8
Keizerstraat;1583 SP;123;A;Nieuw Hoograven;Enschede Bouwbedrijf;G. Maas;30/04/2018;Nieuwbouw;16
Billitonstraat;1806 NW;136;C;Watervogelbuurt;Bouwbedrijf De Wit B.V.;Q. van der Pol;06/05/2018;Nieuwbouw;38,4
Violenstraat;7311 CT;110;B;Oudwijk;AZER Grondwerk BV;H. Schipper;08/04/2016;Boomkap;19,2
Horstdijk;4835 XO;145;;Bedrijventerrein Lageweide;Blanksma Bouwbedrijf B.V.;E. de Haan;06/06/2015;Schuur;22,4
Landstraat;9950 ZL;19;;Vogelenbuurt;Bouwbedrijf Dahlhaus B.V.;U. van den Broek;20/04/2017;Aanbouw;6,4
Kollewijsteeg;5866 ZL;68;;Pijlsweerd-Noord;Bouwservice Correct Limburg;T. van de Pol;28/07/2015;Dakkapel;16
Maliestraat;2467 US;64;;Tuinwijk-Oost;SBC Aannemers B.V.;Y. de Jonge;26/10/2016;Dakkapel;28,8
Rijndijk;2156 SO;40;;Kanaleneiland-Zuid;Reins Bouwbedrijf B.V.;S. van den Velde;16/03/2018;Gevelrenovatie;25,6
Moreelsepark;5806 SP;96;;Lombok-Oost;Piet Peperkamp Bouwbedrijf;D. van der Laan;23/06/2018;Boomkap;25,6
Molenwerfsteeg;8032 MC;62;;Bokkenbuurt;Renovatie- & Bouwbedrijf Select B.V.;Y. Driessen;07/02/2019;Schuur;38,4
Hulststraat;2891 HF;80;;Lunetten-Zuid;Rietveld B.V.;J. van Doorn;20/05/2015;Verwijderen stal;12,8
Leuningsteeg;5518 AR;4;;Kanaleneiland-Zuid;The Mac Group BV;F. van Dongen;27/10/2015;Gevelrenovatie;19,2
Pieter Bothstraat;4408 EP;8;;Zuilen-Noord;Rudolphie Aannemersbedrijf R R;W. van Doorn;04/12/2019;Aanbouw;35,2
Bellamystraat;3473 KK;81;C;Hogeweide;PHB Deventer B.V.;Z. Smit;19/09/2015;Boomkap;12,8
A B C straat;7115 UM;53;A;Vogelenbuurt;Vochtwering Benelux;J. de Boer;11/01/2016;Nieuwbouw;28,8
Knopstraat;1300 JN;146;D;Bedrijvengebied Overvecht;Tijdhof-Hobema aannemers bv;Z. Bakker;05/09/2019;Schuur;38,4
Raamsteeg;7525 IE;80;;Oud Hoograven;Nipeco;O. de Groot;21/07/2015;Boomkap;22,4
Spieringpoort;3165 PL;35;;Geuzenwijk;Bouw- en Aannemersbedrijf Webbink B.V.;O. van der Berg;18/08/2015;Nieuwbouw;6,4
Costa, Da kade;6784 QQ;144;;Buurtnaam;Constructiebedrijf Broecks BV;L. Kramer;30/07/2018;Gevelrenovatie;9,6
Jacobskerkhof;2471 ZP;58;A;Watervogelbuurt;NRB Bouw B.V.;W. van de Meer;20/12/2015;Stal;6,4
Bankastraat;4808 EJ;59;A;Geuzenwijk;Aannemingsbedrijfvisser;S. de Vries;24/02/2017;Aanbouw;16
Baansteeg 1e;7624 AR;112;;Nieuw Hoograven;Knol Bouwbedrijf Peter B.V.;W. Peeters;30/05/2019;Schuur;12,8
